cluster_id,name,st_mean,st_median,st_rank,fa_mean,fa_median,fr_mean,fr_median,fo_mean,fo_median,count,clusterid,male,mostly_male,female,mostly_female,male_ratio_strict,male_ratio_loose,ideo_shift,negs_shift,0.8,0.85,0.9,0.95
58,,2429.121457,561,63,1586.293522,131,343.4493927,284,202.7793522,82,494,58,45,16,207,40,0.178571429,0.198051948,0.067890716,0.117816941,0.082706767,0.052631579,0.030075188,0.015037594
59,,5672.064516,887,85,3124.235023,373,517.0046083,362,474.5714286,100,217,59,24,4,42,4,0.363636364,0.378378378,0.124300978,0.140150174,0.15037594,0.090225564,0.07518797,0.037593985
60,,27019.75118,13900.5,148,16754.53791,6457,587.0521327,452,1284.158768,591.5,422,60,18,4,36,8,0.333333333,0.333333333,0.164306666,0.18409865,0.097744361,0.082706767,0.037593985,0.022556391
61,,1686.899351,59.5,21,2138.297078,23.5,317.8441558,113,590.9707792,33,616,61,110,13,87,20,0.558375635,0.534782609,0.057547327,0.119485432,0.067669173,0.060150376,0.037593985,0.007518797
62,Georgia Tech,5318.953571,208,28,3087.635714,115.5,902.7392857,435,1536.564286,79.5,280,62,70,8,18,8,0.795454545,0.75,0.117847615,0.127777042,0.112781955,0.105263158,0.07518797,0.037593985
63,,2375.333333,557,62,885.7777778,101,580.3127572,298,560,113,243,63,21,3,66,10,0.24137931,0.24,0.090476346,0.134038787,0.082706767,0.07518797,0.045112782,0.015037594
64,,2137.497537,155.5,26,2240.642857,210,265.5615764,150,365.6034483,41.5,406,64,98,11,84,13,0.538461538,0.529126214,0.061141906,0.120023489,0.067669173,0.052631579,0.037593985,0.007518797
65,,3214.606426,58,20,3390.522088,17.5,285.9658635,101,244.1285141,18,498,65,84,15,78,12,0.518518519,0.523809524,0.065623977,0.135762901,0.052631579,0.037593985,0.022556391,0.015037594
66,Kennesaw State University,5499.383459,1542.5,114,6017.896617,1329.5,615.8721805,398,1851.772556,227,532,66,229,32,59,11,0.795138889,0.788519637,0.059035353,0.114880999,0.082706767,0.045112782,0.037593985,0.007518797
67,Georgia Tech Sports,5252.473529,1548.5,115,6051.873529,1251.5,460.3,336,4054.808824,165.5,340,67,109,18,65,17,0.626436782,0.607655502,0.084320272,0.108520006,0.112781955,0.090225564,0.067669173,0.037593985
68,AuburnU,2684.800731,539,61,2462.363803,356,547.0329068,378,876.0548446,106,547,68,268,51,34,19,0.887417219,0.857526882,0.060345058,0.11496785,0.090225564,0.07518797,0.037593985,0.007518797
69,,2656.663793,972,91,1790.762931,177.5,573.5387931,468.5,474.25,254,232,69,29,6,102,27,0.221374046,0.213414634,0.086897525,0.120224676,0.135338346,0.097744361,0.060150376,0.022556391
70,,2537.59375,278,32,1539.826172,66.5,544.0839844,286,687.0390625,79,512,70,70,10,101,26,0.409356725,0.38647343,0.074000362,0.109199487,0.105263158,0.090225564,0.060150376,0.022556391
71,,6178.92467,809,81,5611.335217,799,384.3521657,217,700.2806026,107,531,71,116,18,81,17,0.588832487,0.577586207,0.057165272,0.112225403,0.067669173,0.045112782,0.030075188,0.022556391
72,,3562.790885,384,43,2149.949062,185,490.8203753,292,800.3324397,81,373,72,91,10,37,13,0.7109375,0.668874172,0.059682302,0.115773453,0.060150376,0.045112782,0.037593985,0.022556391
73,Millitary,10930.7289,1910,121,8971.176471,2379.5,1290.377238,800.5,2678.795396,244,782,73,111,10,16,13,0.874015748,0.806666667,0.109448535,0.159094374,0.127819549,0.082706767,0.037593985,0.007518797
74,,454.9015317,11,9,225.8774617,2,232.3063457,73,107.6673961,9,457,74,63,13,43,6,0.594339623,0.608,0.157509946,0.151904972,0.15037594,0.127819549,0.082706767,0.045112782
75,UGA Sports,6426.53795,1446,111,10476.97507,2691,552.2919668,343,4114.691967,115,1805,75,400,72,79,19,0.835073069,0.828070175,0.050998807,0.096472023,0.067669173,0.052631579,0.030075188,0.007518797
76,Game,10452.09048,2841,132,2871.728571,331,357.4095238,275,476.4190476,222,210,76,51,10,19,5,0.728571429,0.717647059,0.137999992,0.157991407,0.127819549,0.105263158,0.082706767,0.030075188
